,belong
5141,1.0
8182,1.0
5947,1.0
8464,1.0
15645,1.0
10035,1.0
3616,1.0
3037,1.0
12160,1.0
4037,1.0
6150,1.0
12299,1.0
5894,1.0
13012,1.0
4390,1.0
1890,1.0
15511,1.0
8789,1.0
7042,1.0
9110,1.0
8195,1.0
15035,1.0
5272,1.0
2263,1.0
10596,1.0
14919,1.0
4867,1.0
12607,1.0
16091,1.0
6406,1.0
9916,1.0
2783,1.0
10616,1.0
14671,1.0
7434,1.0
15147,1.0
7717,1.0
25,1.0
15341,1.0
9351,1.0
9885,1.0
1984,1.0
2346,1.0
8812,1.0
13691,1.0
8782,1.0
1590,1.0
2893,1.0
4411,1.0
10093,1.0
8765,1.0
8129,1.0
5708,1.0
3746,1.0
6517,1.0
15625,1.0
11136,1.0
555,1.0
1347,1.0
15795,1.0
2894,1.0
2964,1.0
15241,1.0
10507,1.0
14608,1.0
926,1.0
13305,1.0
14465,1.0
13968,1.0
15980,1.0
7293,1.0
7329,1.0
15016,1.0
12042,1.0
15948,1.0
11933,1.0
4307,1.0
3012,1.0
10344,1.0
10662,1.0
6065,1.0
12592,1.0
11608,1.0
2374,1.0
8686,1.0
8318,1.0
7317,1.0
1324,1.0
4484,1.0
1653,1.0
4916,1.0
4197,1.0
7866,1.0
15779,1.0
6171,1.0
14301,1.0
2226,1.0
2181,1.0
291,1.0
12649,1.0
11219,1.0
14092,1.0
150,1.0
7055,1.0
1658,1.0
11283,1.0
9517,1.0
4421,1.0
11653,1.0
4096,1.0
6763,1.0
12021,1.0
8066,1.0
668,1.0
13419,1.0
15078,1.0
99,1.0
783,1.0
11969,1.0
8337,1.0
12060,1.0
515,1.0
9536,1.0
6235,1.0
12124,1.0
12366,1.0
14181,1.0
6420,1.0
16192,1.0
9143,1.0
14221,1.0
14350,1.0
15653,1.0
11816,1.0
2035,1.0
14174,1.0
9795,1.0
4921,1.0
14869,1.0
12751,1.0
12916,1.0
3183,1.0
1212,1.0
10577,1.0
14627,1.0
15308,1.0
9708,1.0
9472,1.0
5340,1.0
6234,1.0
7424,1.0
6256,1.0
12283,1.0
11360,1.0
4423,1.0
13904,1.0
11753,1.0
16178,1.0
11333,1.0
9776,1.0
5748,1.0
13117,1.0
6982,1.0
1586,1.0
8813,1.0
1267,1.0
2992,1.0
10945,1.0
7233,1.0
101,1.0
8361,1.0
8790,1.0
2213,1.0
5506,1.0
8466,1.0
11046,1.0
172,1.0
15183,1.0
7808,1.0
8075,1.0
11313,1.0
4295,1.0
10856,1.0
15620,1.0
14723,1.0
7309,1.0
9668,1.0
8703,1.0
9881,1.0
9343,1.0
3965,1.0
3005,1.0
15650,1.0
12696,1.0
11503,1.0
13441,1.0
2785,1.0
12637,1.0
15065,1.0
16076,1.0
917,1.0
12258,1.0
7901,1.0
8566,1.0
14096,1.0
7768,1.0
7176,1.0
5358,1.0
6688,1.0
13063,1.0
15015,1.0
9169,1.0
1020,1.0
6104,1.0
1611,1.0
2312,1.0
6680,1.0
5991,1.0
11203,1.0
13438,1.0
13036,1.0
2288,1.0
11715,1.0
15310,1.0
12461,1.0
14999,1.0
2339,1.0
7020,1.0
8783,1.0
7548,1.0
5337,1.0
10823,1.0
1367,1.0
1686,1.0
14080,1.0
10321,1.0
12065,1.0
16009,1.0
15461,1.0
9569,1.0
14967,1.0
6145,1.0
14595,1.0
1028,1.0
256,1.0
11185,1.0
6419,1.0
4083,1.0
12376,1.0
5691,1.0
6646,1.0
5799,1.0
12779,1.0
14056,1.0
9887,1.0
13770,1.0
14765,1.0
653,1.0
13594,1.0
3544,1.0
11297,1.0
542,1.0
9578,1.0
1705,1.0
1380,1.0
9603,1.0
3295,1.0
8535,1.0
7054,1.0
2332,1.0
1280,1.0
1304,1.0
10710,1.0
12507,1.0
3219,1.0
10387,1.0
5447,1.0
12921,1.0
6371,1.0
4720,1.0
13731,1.0
3069,1.0
249,1.0
12508,1.0
219,1.0
351,1.0
10239,1.0
8181,1.0
3859,1.0
4137,1.0
3719,1.0
15013,1.0
934,1.0
10886,1.0
10875,1.0
3794,1.0
5456,1.0
7265,1.0
3563,1.0
9891,1.0
4107,1.0
10472,1.0
9866,1.0
11347,1.0
8391,1.0
1581,1.0
11007,1.0
1932,1.0
13751,1.0
4516,1.0
14041,1.0
15556,1.0
13627,1.0
8376,1.0
12390,1.0
1601,1.0
2928,1.0
14306,1.0
324,1.0
15185,1.0
1823,1.0
9053,1.0
5737,1.0
12286,1.0
13374,1.0
4174,1.0
5661,1.0
13111,1.0
14382,1.0
13759,1.0
3561,1.0
3783,1.0
11934,1.0
8650,1.0
4433,1.0
3258,1.0
7531,1.0
8914,1.0
7549,1.0
12361,1.0
7258,1.0
10439,1.0
6910,1.0
12840,1.0
14272,1.0
10888,1.0
11637,1.0
2278,1.0
11236,1.0
15258,1.0
11601,1.0
6986,1.0
14552,1.0
7750,1.0
13176,1.0
14470,1.0
10000,1.0
462,1.0
9701,1.0
9968,1.0
8186,1.0
12374,1.0
11702,1.0
13409,1.0
864,1.0
11467,1.0
10399,1.0
1803,1.0
11334,1.0
3570,1.0
15755,1.0
12483,1.0
4172,1.0
5059,1.0
9071,1.0
5061,1.0
6713,1.0
10413,1.0
11023,1.0
13705,1.0
7428,1.0
8727,1.0
4980,1.0
8331,1.0
8953,1.0
9580,1.0
3831,1.0
11582,1.0
11570,1.0
15188,1.0
448,1.0
6867,1.0
16030,1.0
14019,1.0
1924,1.0
4699,1.0
8299,1.0
11768,1.0
11289,1.0
14654,1.0
936,1.0
5780,1.0
13673,1.0
8531,1.0
7689,1.0
876,1.0
7963,1.0
12989,1.0
15672,1.0
15677,1.0
11869,1.0
7874,1.0
1121,1.0
3018,1.0
16122,1.0
5344,1.0
9188,1.0
16217,1.0
6475,1.0
4614,1.0
2299,1.0
9635,1.0
9596,1.0
1842,1.0
12337,1.0
3419,1.0
4896,1.0
13315,1.0
9894,1.0
12747,1.0
5205,1.0
10674,1.0
13743,1.0
11755,1.0
11288,1.0
6257,1.0
5450,1.0
7194,1.0
10310,1.0
206,1.0
9448,1.0
12005,1.0
6918,1.0
1501,1.0
8698,1.0
11324,1.0
1867,1.0
14167,1.0
12917,1.0
9212,1.0
6665,1.0
14920,1.0
4092,1.0
5455,1.0
8893,1.0
7714,1.0
11092,1.0
9732,1.0
5858,1.0
11424,1.0
3250,1.0
10647,1.0
5030,1.0
1641,1.0
12873,1.0
13109,1.0
13511,1.0
7708,1.0
5671,1.0
13400,1.0
10171,1.0
6391,1.0
10865,1.0
3961,1.0
7435,1.0
14982,1.0
15052,1.0
12429,1.0
5415,1.0
6562,1.0
3331,1.0
4169,1.0
10748,1.0
447,1.0
10183,1.0
12975,1.0
6621,1.0
2384,1.0
15299,1.0
8781,1.0
3882,1.0
11406,1.0
10690,1.0
12440,1.0
12888,1.0
6933,1.0
8593,1.0
4357,1.0
14789,1.0
1746,1.0
7230,1.0
13578,1.0
10048,1.0
6375,1.0
970,1.0
7610,1.0
4975,1.0
10817,1.0
591,1.0
12237,1.0
69,1.0
6103,1.0
5127,1.0
10217,1.0
1378,1.0
7072,1.0
812,1.0
13110,1.0
13216,1.0
1452,1.0
7273,1.0
7723,1.0
9990,1.0
12665,1.0
12470,1.0
3513,1.0
7085,1.0
9710,1.0
4350,1.0
6913,1.0
9733,1.0
15550,1.0
14200,1.0
16067,1.0
13891,1.0
2242,1.0
14814,1.0
12679,1.0
10802,1.0
6226,1.0
6764,1.0
5554,1.0
4788,1.0
7936,1.0
11995,1.0
1988,1.0
2780,1.0
8259,1.0
4009,1.0
8471,1.0
3748,1.0
3653,1.0
11421,1.0
246,1.0
7243,1.0
2748,1.0
4943,1.0
15191,1.0
6541,1.0
8948,1.0
10141,1.0
10985,1.0
13742,1.0
8093,1.0
11717,1.0
12973,1.0
5994,1.0
9436,1.0
16011,1.0
10187,1.0
3426,1.0
13671,1.0
12925,1.0
10177,1.0
3232,1.0
12855,1.0
11780,1.0
12401,1.0
3939,1.0
825,1.0
8340,1.0
15146,1.0
15733,1.0
7706,1.0
12313,1.0
13401,1.0
391,1.0
8938,1.0
4822,1.0
11841,1.0
13328,1.0
8832,1.0
595,1.0
10915,1.0
15110,1.0
7391,1.0
2679,1.0
7704,1.0
9848,1.0
1438,1.0
15117,1.0
5763,1.0
14097,1.0
8388,1.0
11108,1.0
8996,1.0
4061,1.0
3967,1.0
471,1.0
3211,1.0
6127,1.0
13134,1.0
9928,1.0
9223,1.0
3764,1.0
12083,1.0
9531,1.0
11445,1.0
13045,1.0
4343,1.0
4375,1.0
5544,1.0
4262,1.0
6120,1.0
4835,1.0
9857,1.0
14599,1.0
12113,1.0
2333,1.0
7853,1.0
2525,1.0
771,1.0
14917,1.0
11767,1.0
1674,1.0
3766,1.0
11084,1.0
5183,1.0
12754,1.0
6657,1.0
14672,1.0
15446,1.0
3807,1.0
5728,1.0
2101,1.0
12446,1.0
14335,1.0
11286,1.0
7455,1.0
9959,1.0
11114,1.0
14175,1.0
11835,1.0
822,1.0
13309,1.0
9597,1.0
13945,1.0
8451,1.0
1400,1.0
9515,1.0
12009,1.0
5942,1.0
9583,1.0
400,1.0
1724,1.0
7933,1.0
11952,1.0
12409,1.0
1656,1.0
5502,1.0
9239,1.0
908,1.0
2485,1.0
5341,1.0
8676,1.0
8972,1.0
10853,1.0
1714,1.0
10486,1.0
6900,1.0
10424,1.0
5521,1.0
3477,1.0
1109,1.0
5717,1.0
6529,1.0
13471,1.0
10179,1.0
6948,1.0
11001,1.0
11534,1.0
1613,1.0
7707,1.0
8987,1.0
68,1.0
8467,1.0
14909,1.0
11149,1.0
10558,1.0
8718,1.0
3368,1.0
6765,1.0
15702,1.0
7250,1.0
264,1.0
8219,1.0
13139,1.0
5285,1.0
11485,1.0
12193,1.0
7245,1.0
9108,1.0
9839,1.0
7555,1.0
5406,1.0
6830,1.0
2799,1.0
12685,1.0
9422,1.0
8920,1.0
3146,1.0
625,1.0
9389,1.0
9742,1.0
3548,1.0
7305,1.0
14582,1.0
13364,1.0
10931,1.0
16025,1.0
16213,1.0
7663,1.0
14771,1.0
13914,1.0
12277,1.0
7799,1.0
4379,1.0
8036,1.0
9039,1.0
2968,1.0
11975,1.0
1338,1.0
6364,1.0
11658,1.0
9178,1.0
10182,1.0
7337,1.0
133,1.0
14464,1.0
1068,1.0
15280,1.0
5187,1.0
1012,1.0
31,1.0
10100,1.0
4460,1.0
6274,1.0
16168,1.0
15116,1.0
2585,1.0
4328,1.0
3554,1.0
8189,1.0
1617,1.0
14227,1.0
15261,1.0
134,1.0
11057,1.0
3363,1.0
892,1.0
3781,1.0
2154,1.0
15000,1.0
15057,1.0
11577,1.0
100,1.0
11885,1.0
8296,1.0
8059,1.0
4317,1.0
11370,1.0
9064,1.0
3716,1.0
102,1.0
2790,1.0
7797,1.0
7565,1.0
1642,1.0
15603,1.0
398,1.0
14461,1.0
9361,1.0
12861,1.0
10918,1.0
1850,1.0
5004,1.0
10743,1.0
7692,1.0
3976,1.0
11402,1.0
6924,1.0
12341,1.0
8443,1.0
11475,1.0
8954,1.0
10665,1.0
10053,1.0
4310,1.0
860,1.0
15314,1.0
14969,1.0
2598,1.0
2869,1.0
1888,1.0
15262,1.0
15232,1.0
2432,1.0
12929,1.0
4081,1.0
8970,1.0
6961,1.0
10673,1.0
14180,1.0
13126,1.0
5546,1.0
3338,1.0
583,1.0
3584,1.0
13376,1.0
6097,1.0
807,1.0
12827,1.0
3828,1.0
12375,1.0
12682,1.0
12439,1.0
429,1.0
2328,1.0
13031,1.0
12422,1.0
9791,1.0
9326,1.0
1431,1.0
304,1.0
11273,1.0
14710,1.0
15173,1.0
3372,1.0
10441,1.0
9825,1.0
10834,1.0
12835,1.0
4671,1.0
422,1.0
7687,1.0
5758,1.0
11795,1.0
9617,1.0
5343,1.0
7523,1.0
3780,1.0
550,1.0
9542,1.0
2706,1.0
14816,1.0
4620,1.0
6296,1.0
4076,1.0
4827,1.0
4354,1.0
4376,1.0
11936,1.0
13827,1.0
8777,1.0
10385,1.0
13353,1.0
2733,1.0
6164,1.0
6342,1.0
9633,1.0
8699,1.0
13367,1.0
3767,1.0
5238,1.0
11132,1.0
8354,1.0
2500,1.0
952,1.0
3862,1.0
6414,1.0
3590,1.0
5311,1.0
12129,1.0
4085,1.0
14028,1.0
51,1.0
14337,1.0
10294,1.0
5128,1.0
10609,1.0
15517,1.0
8476,1.0
11805,1.0
11158,1.0
162,1.0
743,1.0
1680,1.0
910,1.0
6054,1.0
1471,1.0
10074,1.0
5920,1.0
9368,1.0
12408,1.0
8086,1.0
10095,1.0
10962,1.0
5983,1.0
202,1.0
5214,1.0
15056,1.0
9736,1.0
5242,1.0
13004,1.0
8328,1.0
5851,1.0
13992,1.0
10341,1.0
6788,1.0
14460,1.0
4284,1.0
14073,1.0
8335,1.0
13022,1.0
8578,1.0
2723,1.0
3701,1.0
5974,1.0
7274,1.0
5926,1.0
4466,1.0
15801,1.0
15043,1.0
11896,1.0
11708,1.0
9398,1.0
14236,1.0
1723,1.0
4838,1.0
6275,1.0
7722,1.0
5062,1.0
10905,1.0
2401,1.0
6865,1.0
8135,1.0
1903,1.0
7485,1.0
14467,1.0
2954,1.0
11492,1.0
8091,1.0
3865,1.0
9033,1.0
2370,1.0
8141,1.0
8241,1.0
10397,1.0
6970,1.0
9340,1.0
15551,1.0
6872,1.0
14140,1.0
7547,1.0
6916,1.0
602,1.0
5002,1.0
2146,1.0
13491,1.0
6914,1.0
2062,1.0
9851,1.0
8554,1.0
14586,1.0
5165,1.0
660,1.0
10216,1.0
9770,1.0
9915,1.0
6215,1.0
954,1.0
7402,1.0
10777,1.0
7197,1.0
2782,1.0
11472,1.0
4119,1.0
10419,1.0
5693,1.0
13303,1.0
3630,1.0
6660,1.0
3135,1.0
12563,1.0
2327,1.0
6009,1.0
9427,1.0
6425,1.0
15518,1.0
6957,1.0
12767,1.0
11021,1.0
14188,1.0
4364,1.0
16033,1.0
11452,1.0
15958,1.0
7401,1.0
4802,1.0
925,1.0
13264,1.0
1922,1.0
2849,1.0
1064,1.0
4345,1.0
40,1.0
7891,1.0
15665,1.0
9307,1.0
13037,1.0
10270,1.0
12458,1.0
15632,1.0
10476,1.0
14042,1.0
12798,1.0
11381,1.0
1436,1.0
930,1.0
14547,1.0
4824,1.0
2411,1.0
13330,1.0
11557,1.0
8550,1.0
4528,1.0
620,1.0
2755,1.0
5766,1.0
11375,1.0
4625,1.0
11974,1.0
10034,1.0
2094,1.0
2160,1.0
8922,1.0
9383,1.0
7583,1.0
4616,1.0
11838,1.0
13602,1.0
13776,1.0
8332,1.0
15060,1.0
3577,1.0
10626,1.0
2072,1.0
4508,1.0
2941,1.0
2784,1.0
5100,1.0
5309,1.0
14290,1.0
5807,1.0
2060,1.0
15410,1.0
9697,1.0
2237,1.0
8507,1.0
5041,1.0
6891,1.0
11178,1.0
12309,1.0
13887,1.0
1499,1.0
14229,1.0
2711,1.0
9017,1.0
14383,1.0
11895,1.0
8082,1.0
682,1.0
10730,1.0
2049,1.0
15063,1.0
11714,1.0
8810,1.0
12906,1.0
1379,1.0
7181,1.0
696,1.0
6491,1.0
6081,1.0
10757,1.0
6938,1.0
2689,1.0
9513,1.0
14623,1.0
11988,1.0
4173,1.0
6478,1.0
8877,1.0
5042,1.0
2645,1.0
12019,1.0
9283,1.0
11049,1.0
16059,1.0
7771,1.0
10991,1.0
2583,1.0
7811,1.0
11749,1.0
2326,1.0
11392,1.0
3799,1.0
12197,1.0
10568,1.0
3531,1.0
8166,1.0
2014,1.0
12537,1.0
14985,1.0
15925,1.0
1848,1.0
7680,1.0
2704,1.0
11310,1.0
2167,1.0
12253,1.0
1388,1.0
9444,1.0
984,1.0
15186,1.0
12653,1.0
10497,1.0
13878,1.0
3476,1.0
16267,1.0
13591,1.0
5803,1.0
9171,1.0
4111,1.0
1704,1.0
11571,1.0
15441,1.0
15989,1.0
2378,1.0
11309,1.0
14068,1.0
6836,1.0
1263,1.0
3695,1.0
7299,1.0
6125,1.0
33,1.0
7527,1.0
10351,1.0
3933,1.0
3206,1.0
3509,1.0
10746,1.0
11338,1.0
3963,1.0
8305,1.0
14144,1.0
3182,1.0
7009,1.0
5755,1.0
6119,1.0
8975,1.0
14957,1.0
11419,1.0
11469,1.0
5850,1.0
15332,1.0
9363,1.0
9101,1.0
10593,1.0
2410,1.0
1163,1.0
13468,1.0
8312,1.0
91,1.0
9764,1.0
8021,1.0
12630,1.0
15786,1.0
2298,1.0
11788,1.0
7743,1.0
375,1.0
10400,1.0
5351,1.0
1046,1.0
2078,1.0
14812,1.0
4292,1.0
1126,1.0
1900,1.0
7576,1.0
15217,1.0
6344,1.0
11187,1.0
1322,1.0
7697,1.0
7754,1.0
11099,1.0
317,1.0
16287,1.0
9785,1.0
6819,1.0
8697,1.0
10473,1.0
4402,1.0
3917,1.0
11037,1.0
4400,1.0
3251,1.0
6266,1.0
14127,1.0
7813,1.0
10723,1.0
11442,1.0
7952,1.0
3827,1.0
6995,1.0
3854,1.0
2761,1.0
2847,1.0
283,1.0
14956,1.0
4394,1.0
2457,1.0
15030,1.0
11692,1.0
5923,1.0
8847,1.0
516,1.0
13214,1.0
11797,1.0
504,1.0
9572,1.0
3546,1.0
10132,1.0
14960,1.0
982,1.0
1832,1.0
2051,1.0
8136,1.0
14154,1.0
3681,1.0
9494,1.0
3983,1.0
6520,1.0
1481,1.0
10534,1.0
13234,1.0
12935,1.0
1721,1.0
4287,1.0
1082,1.0
5353,1.0
193,1.0
10702,1.0
12464,1.0
8200,1.0
10055,1.0
15107,1.0
12255,1.0
1929,1.0
975,1.0
13657,1.0
9478,1.0
13586,1.0
7226,1.0
14455,1.0
9159,1.0
12834,1.0
7056,1.0
9335,1.0
12321,1.0
10440,1.0
2727,1.0
16258,1.0
5201,1.0
3888,1.0
4120,1.0
14679,1.0
12602,1.0
15479,1.0
13662,1.0
5570,1.0
835,1.0
14324,1.0
10610,1.0
6987,1.0
3514,1.0
11377,1.0
932,1.0
13127,1.0
368,1.0
14315,1.0
2281,1.0
5654,1.0
15158,1.0
11205,1.0
15638,1.0
13294,1.0
6708,1.0
3655,1.0
15527,1.0
16210,1.0
7385,1.0
15651,1.0
12489,1.0
6525,1.0
14864,1.0
8543,1.0
9628,1.0
10903,1.0
15028,1.0
1745,1.0
14374,1.0
12312,1.0
7525,1.0
9610,1.0
7032,1.0
12631,1.0
10599,1.0
14924,1.0
8177,1.0
2343,1.0
6146,1.0
12994,1.0
9769,1.0
14235,1.0
3626,1.0
6372,1.0
1491,1.0
716,1.0
3811,1.0
15309,1.0
10020,1.0
8165,1.0
9546,1.0
14828,1.0
14585,1.0
14706,1.0
8833,1.0
15708,1.0
7420,1.0
7737,1.0
12039,1.0
5625,1.0
5473,1.0
167,1.0
7278,1.0
4337,1.0
10573,1.0
7871,1.0
97,1.0
3906,1.0
8338,1.0
13040,1.0
372,1.0
10427,1.0
15122,1.0
8063,1.0
14619,1.0
11380,1.0
15662,1.0
